date,AUDEUR Curncy,BRLEUR Curncy,CADEUR Curncy,CHFEUR Curncy,CNYEUR Curncy,CZKEUR Curncy,DKKEUR Curncy,GBPEUR Curncy,GBpEUR Curncy,HKDEUR Curncy,ILSEUR Curncy,INREUR Curncy,ISKEUR Curncy,JPYEUR Curncy,NOKEUR Curncy,NZDEUR Curncy,PKREUR Curncy,PLNEUR Curncy,RUBEUR Curncy,SEKEUR Curncy,SGDEUR Curncy,USDEUR Curncy,XAGEUR Curncy,XAUEUR Curncy,ZAREUR Curncy
2000-01-03,0.643,0.53671,0.6748,0.623,0.11791,0.0278,0.1344,1.5974,1.5974,0.1256,0.2371,0.02242,1.3514,0.96232,0.1238,0.5118,0.0188,0.23667,0.0357,0.11655,0.5895,0.9763,,,0.1592
2000-01-04,0.6358,0.52471,0.6686,0.6237,0.1173,0.0275,0.1343,1.5888,1.5888,0.1249,0.236,0.02232,1.3523,0.94063,0.1222,0.5045,0.01869,0.2356,0.0353,0.11589,0.5865,0.9713,,,0.1595
2000-01-05,0.6379,0.52686,0.6682,0.6257,0.11701,0.0276,0.1344,1.5919,1.5919,0.1246,0.2334,0.02227,1.3481,0.93011,0.122,0.5033,0.01868,0.23492,0.0356,0.1158,0.5847,0.9689,,,0.1597
2000-01-06,0.6324,0.52578,0.6633,0.6234,0.11694,0.0276,0.1343,1.5954,1.5954,0.1245,0.233,0.02223,1.3444,0.92021,0.1219,0.4982,0.01866,0.23727,0.0353,0.11566,0.5814,0.9682,,,0.1593
2000-01-07,0.636,0.53166,0.6672,0.6208,0.11732,0.0277,0.1344,1.5922,1.5922,0.1249,0.233,0.0223,1.3472,0.92206,0.1218,0.5026,0.01871,0.23836,0.0354,0.1154,0.5847,0.9713,,,0.1604
2000-01-10,0.6397,0.53721,0.6699,0.6214,0.11776,0.0278,0.1344,1.5964,1.5964,0.1254,0.2364,0.02239,1.3475,0.92782,0.1217,0.5036,0.0188,0.23957,0.0346,0.11543,0.5869,0.975,,,0.1607
2000-01-11,0.6366,0.53085,0.6639,0.6209,0.11685,0.0278,0.1344,1.5936,1.5936,0.1244,0.235,0.02222,1.3449,0.91312,0.1216,0.501,0.01864,0.238,0.0338,0.11523,0.5797,0.9675,,,0.1588
2000-01-12,0.6388,0.53064,0.667,0.6207,0.11714,0.0277,0.1343,1.5969,1.5969,0.1247,0.2353,0.02227,1.3544,0.91572,0.1219,0.5031,0.01869,0.23857,0.0337,0.11547,0.5809,0.97,,,0.1599
2000-01-13,0.6516,0.53764,0.672,0.6203,0.11773,0.0277,0.1344,1.6058,1.6058,0.1253,0.2369,0.02237,1.3572,0.91867,0.1228,0.5101,0.0188,0.23971,0.034,0.11582,0.5841,0.9748,,,0.1608
2000-01-14,0.6576,0.54764,0.6814,0.6196,0.11932,0.0278,0.1343,1.6117,1.6117,0.127,0.24,0.02269,1.3674,0.93317,0.1236,0.5125,0.01913,0.24244,0.0345,0.11657,0.5899,0.9879,,,0.1608
